Date,Adj CloseT,Adj CloseR,Adj CloseA,Adj CloseH,Adj CloseI,Adj CloseB,Adj CloseINF
2021-02-19,311.8500061035156,2073.62939453125,581.3499755859375,1514.854248046875,196.00875854492188,384.87115478515625,1253.02197265625
2021-02-22,304.5,2001.6607666015625,570.2999877929688,1523.614013671875,192.38499450683594,378.2030334472656,1227.6956787109375
2021-02-23,324.0,2016.9615478515625,565.5499877929688,1505.06103515625,193.73228454589844,389.5701599121094,1228.8115234375
2021-02-24,321.6499938964844,2054.39111328125,572.9500122070312,1581.143310546875,194.05751037597656,392.6580810546875,1236.5260009765625
2021-02-25,333.1499938964844,2137.47412109375,579.1500244140625,1581.093994140625,194.33624267578125,413.1099548339844,1236.7685546875
2021-02-26,322.95001220703125,2079.11181640625,556.2999877929688,1510.228271484375,189.41163635253906,402.63787841796875,1216.1484375
2021-03-01,328.29998779296875,2094.960693359375,532.2000122070312,1534.3424072265625,192.24560546875,407.4710998535156,1229.4422607421875
2021-03-02,345.75,2099.246826171875,541.2000122070312,1543.4957275390625,195.03311157226562,419.7780456542969,1265.830810546875
2021-03-03,348.5,2195.038818359375,546.2999877929688,1561.8519287109375,195.07958984375,417.40618896484375,1303.7230224609375
2021-03-04,339.20001220703125,2168.873046875,539.5999755859375,1527.600341796875,194.8472900390625,415.21331787109375,1290.914306640625
2021-03-05,325.1499938964844,2171.713623046875,532.7999877929688,1505.8975830078125,193.77874755859375,413.3337097167969,1277.6689453125
2021-03-08,321.25,2184.073974609375,525.7000122070312,1495.56298828125,193.2677001953125,417.719482421875,1296.1544189453125
2021-03-09,315.20001220703125,2184.024169921875,521.75,1537.8856201171875,193.0818634033203,399.1024169921875,1305.6639404296875
2021-03-10,321.45001220703125,2174.953369140625,525.8499755859375,1531.241943359375,191.87393188476562,398.7444152832031,1327.5938720703125
2021-03-12,317.54998779296875,2130.74560546875,524.2000122070312,1527.501708984375,190.666015625,409.5297546386719,1334.09521484375
2021-03-15,318.54998779296875,2102.137451171875,522.8499755859375,1504.56884765625,190.8983154296875,412.2148742675781,1332.8822021484375
2021-03-16,319.95001220703125,2093.8642578125,529.2999877929688,1488.3287353515625,193.12832641601562,406.21807861328125,1342.97412109375
2021-03-17,305.79998779296875,2048.75927734375,522.9000244140625,1471.79345703125,195.6835479736328,386.70599365234375,1345.885009765625
2021-03-18,307.0,2002.6575927734375,527.2000122070312,1467.511962890625,202.23419189453125,382.0964660644531,1297.46435546875
2021-03-19,308.95001220703125,2075.32373046875,529.9500122070312,1473.9095458984375,207.15882873535156,387.51153564453125,1304.5963134765625
2021-03-22,303.04998779296875,2055.78662109375,528.0,1446.0062255859375,209.99278259277344,393.2398681640625,1330.165283203125
2021-03-23,307.3999938964844,2080.80615234375,529.25,1476.517822265625,206.46192932128906,390.6889953613281,1330.8931884765625
2021-03-24,294.45001220703125,2040.735107421875,523.6500244140625,1455.504150390625,200.6546173095703,384.8263854980469,1313.62060546875
2021-03-25,285.54998779296875,1985.0640869140625,507.75,1440.2974853515625,196.6127166748047,379.3929443359375,1294.26220703125
2021-03-26,296.3999938964844,1988.25390625,522.5,1467.8072509765625,195.96229553222656,384.1472473144531,1296.5909423828125
2021-03-30,297.04998779296875,2022.7928466796875,521.5,1529.22412109375,199.35377502441406,390.1240234375,1344.2354736328125
2021-03-31,301.79998779296875,1996.6767578125,517.2999877929688,1470.1202392578125,203.0240020751953,387.54315185546875,1327.4969482421875
2021-04-01,307.75,2015.36669921875,520.7999877929688,1463.3289794921875,204.46421813964844,396.1008605957031,1344.138427734375
2021-04-05,305.04998779296875,1986.21044921875,528.25,1426.76416015625,197.4954376220703,387.6336669921875,1368.1063232421875
2021-04-06,307.75,1977.9371337890625,532.2000122070312,1417.5614013671875,197.5883331298828,387.6789855957031,1369.2222900390625
2021-04-07,307.79998779296875,1996.4276123046875,541.5999755859375,1424.4019775390625,198.6569061279297,387.76953125,1387.804443359375
2021-04-08,313.95001220703125,1998.9195556640625,543.0,1410.228759765625,198.14584350585938,389.89764404296875,1397.1683349609375
2021-04-09,318.20001220703125,1975.6943359375,545.25,1399.3529052734375,198.00648498535156,385.4150390625,1398.3328857421875
2021-04-12,286.54998779296875,1905.021728515625,522.4500122070312,1345.5146484375,190.75894165039062,365.8092346191406,1383.4864501953125
2021-04-13,302.8500061035156,1925.60546875,536.1500244140625,1378.2900390625,193.91812133789062,370.74462890625,1355.7342529296875
2021-04-15,303.5,1938.0654296875,539.3499755859375,1407.5714111328125,192.0597686767578,366.6242370605469,1320.4132080078125
2021-04-16,310.0,1925.904541015625,540.75,1406.1441650390625,193.2212371826172,374.7291564941406,1313.62060546875
2021-04-19,301.3999938964844,1895.6019287109375,526.4500122070312,1390.150146484375,191.03770446777344,370.156005859375,1322.1600341796875
2021-04-20,298.04998779296875,1895.0538330078125,530.2000122070312,1369.48095703125,189.1328887939453,369.5673522949219,1311.291748046875
2021-04-22,294.54998779296875,1900.2869873046875,530.8499755859375,1400.091064453125,191.31643676757812,378.8495788574219,1311.04931640625
2021-04-23,294.0,1898.243408203125,522.5999755859375,1391.87255859375,190.80540466308594,383.1058044433594,1294.26220703125
2021-04-26,295.3999938964844,1931.635986328125,527.5499877929688,1382.669921875,190.75894165039062,379.3476257324219,1303.7230224609375
2021-04-27,301.5,1982.273193359375,534.2999877929688,1416.0357666015625,190.85183715820312,380.6607360839844,1308.5263671875
2021-04-28,305.8999938964844,1990.8955078125,544.2999877929688,1453.5357666015625,190.9447784423828,378.0798034667969,1315.8040771484375
2021-04-29,301.8999938964844,2017.5596923828125,540.8499755859375,1449.303466796875,189.8297576904297,379.93621826171875,1316.1436767578125
2021-04-30,293.8500061035156,1988.1043701171875,536.75,1390.0518798828125,188.25018310546875,381.9738464355469,1314.2030029296875
2021-05-03,293.0,1952.7681884765625,558.8499755859375,1392.1678466796875,186.717041015625,376.7214660644531,1311.97119140625
2021-05-04,289.45001220703125,1910.4542236328125,552.4500122070312,1366.47900390625,185.46266174316406,381.6568908691406,1289.9925537109375
2021-05-05,291.5,1913.9429931640625,559.9500122070312,1380.5045166015625,187.13516235351562,384.6905822753906,1301.73388671875
